Mnemonic,pca1,pca2,pca3,pca4,pca5,pca6
201801,-6.517806270238833,4.123470789501129,-4.323529527274559,0.18571978084954938,2.1915250258761936,2.5750327234952013
201802,-6.4078771107927865,3.9122776176815113,-4.092867958733598,-0.00509900670499683,1.3872463615755017,1.9214407345925784
201803,-6.320072607938634,3.5008262793204725,-3.5981341733256937,0.04039566346988913,1.329952186454094,1.6965353119973288
201804,-6.475805729771145,3.2736019922523423,-3.4396085983044435,0.3149580827273693,0.7270255348410207,1.3307110032974545
201805,-6.504495396628926,2.724625121660827,-2.8875647842057015,0.3942351481263056,0.7837098267632902,1.1884535100331237
201806,-6.361750761519606,2.4892700153788754,-2.802809013179594,0.36976066905624827,0.5580538829148727,0.40030986922245027
201807,-6.223080392908497,1.9846540236981547,-2.4641898635126815,0.6077917384339462,0.3110318763509229,0.08534919574509876
201808,-6.072541419831473,1.6301062767071643,-2.141376302851897,0.7440674049402454,0.07764682806580343,-0.2001071017885639
201809,-5.929753262349171,1.3022496450813785,-1.7533941618303117,0.17256540736874673,-0.05294754220392769,-0.498744517539092
201810,-5.948962462219436,0.8592425982823689,-2.03883472995064,-0.2196765912329161,-0.6796087813586077,-1.3239998757322313
201811,-5.820545979954443,0.6101564790967113,-1.464676228318922,-0.46576826033021496,-1.0042003232244154,-1.3034722154772314
201812,-4.8201316873750795,1.0596969823026448,-1.7733096865292486,-0.8372561539664785,-1.6928579084795765,-1.6659470226918487
201901,-4.913218082787464,0.5582923451579324,-0.8003159505523382,-0.3323827532200352,-1.6177280321272047,-1.3811236650083192
201902,-4.546671667579034,0.16776196551513708,-0.26572824596030986,-0.437693653892123,-1.3641127457948097,-1.7237139993103148
201903,-4.561890956964232,-0.5344394305002225,0.3783896433503136,0.19840343687644035,-1.3546375873783927,-1.6518206158602755
201904,-4.544123069038895,-1.1143648283324288,0.8458932821962788,0.5812565011454135,-1.2022763585293497,-1.8126414086301088
201905,-4.134511284673066,-1.470622411304504,0.9289824179970221,-0.01132824949446722,-1.0689082592790076,-2.160989280886173
201906,-3.6390790065706042,-2.149796064770797,1.917138710220206,-0.15569138817248762,-0.7363298515578285,-1.3978813609037355
201907,-3.3866754958306617,-2.811166778743275,2.3339046296225936,-0.5247842802664847,-0.2964200645333363,-1.113227290848366
201908,-2.9107408039278644,-3.42306956365515,3.136674019840117,-0.1956832451963614,0.02121007818355642,0.12773367536573257
201909,-2.3760714991377085,-3.367397550123037,3.5996764265156,-0.3380287305889526,-0.11367962385136549,-0.03372488842510007
201910,-2.154430417442615,-3.8151139446380604,3.968743743776037,0.04489280922477131,-0.12046397051182489,0.1501209006049796
201911,-1.970306502250703,-4.268357664869228,4.3674304689077275,-0.04159849516635752,0.10935653999061544,0.38705796514530294
201912,-2.0322438814978647,-5.057148183487215,4.913338601428327,-0.1886781954815221,0.47191415017020716,1.5356919993599762
202001,-1.8565542091825324,-5.8215246768970905,5.494516600010755,-0.3399808209305548,0.9154837614219381,2.559433878783514
202002,-1.020297469953793,-5.373535055864577,5.584773218545553,-0.14638404850342046,0.6546260731612232,2.4248676149411197
202003,3.029590648161537,1.647298625643413,4.58435693596872,-3.3666774008532654,-0.8693533826140364,2.0191330184171
202004,12.733836153565756,15.860646161157558,6.003231414467449,-5.283119562385851,-2.289681845069388,0.5256623819617232
202005,8.51766921713035,7.01073773892133,5.628700612143052,6.240462651281412,-0.7220728770223178,0.3167722142496419
202006,9.192308919702775,3.9930884961575273,3.253805080417412,6.908310640779385,2.253148900870954,-1.237295254083771
202007,11.171561542213638,2.633306727883723,1.110277588430794,-0.3597707703840466,3.1770803168726625,-1.9460202041481212
202008,10.298942373602708,-1.7022753474306822,-1.1317906164533824,-2.514622385360473,4.209849425989387,-1.8380097357779304
202009,10.801265794900942,-3.661332852557271,-2.8785120253257115,-2.568015011913662,3.1042574717495666,-1.3187621091317114
202010,11.809977533025705,-3.7396033372316517,-4.302756552508421,-1.2826432013208053,0.7571467301523515,-0.3557158784397639
202011,12.67999604184799,-3.234349245977697,-5.257078556637269,0.2049636047765116,-1.4529950364542932,0.6608739884057238
202012,13.161238020817086,-3.389144048890441,-5.570618172829209,1.0619918378087017,-2.7553043801187034,1.4129069102024143
202101,14.053251183396586,-4.408068896126896,-5.06273824555403,1.5451068285005507,-3.6466864012957663,1.6451095288622026
